Respondent_Serial,comp,treatment,treatment_kantar,treatmentgroup,y,workp,org_strictp,org_weakp,cr1,cr2,cr3,crt,understanding1,understanding2,age,gender,education,indincome,occupation,stortingsvalg,leftp
354,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,5,47,3,NA,1 Ingen kontroll,61,Mann,Fagutdanning,400.000 - 499.000 kr,self-employed,R,TRUE
2383,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,5,47,3,NA,1 Ingen kontroll,38,Mann,Universitet/hoyskole II,300.000-399.000 kroner,working fulltime,Hadde ikke stemmerett,TRUE
6895,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,36,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,V,TRUE
458,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,NA,NA,0,NA,3,65,Kvinne,Videregaaende,300.000-399.000 kroner,retired,Vil ikke oppgi parti,TRUE
1408,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,10,1,24,0,NA,1 Ingen kontroll,58,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working parttime,Ap,TRUE
5792,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,5,5,24,2,NA,1 Ingen kontroll,63,Kvinne,Videregaaende,200.000 - 299.999 kroner,retired,H,FALSE
2894,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,100,24,0,NA,2,56,Kvinne,Universitet/hoyskole I,700-000 - 799.999 kroner,working fulltime,Ap,TRUE
3466,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,NA,24,0,Ja,1 Ingen kontroll,24,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,student,Vil ikke oppgi parti,TRUE
3857,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,3,TRUE,FALSE,FALSE,5,1,47,2,NA,7 Full kontroll,19,Kvinne,Grunnskole,Onsker ikke aa svare,homemaker,SV,TRUE
5239,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,10,100,NA,0,NA,1 Ingen kontroll,64,Kvinne,Videregaaende,Under 200.000 kroner,retired,Ap,TRUE
5200,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,2,33,Mann,Universitet/hoyskole II,600.000 - 699.999 kroner,self-employed,H,FALSE
501,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,10,5,47,2,NA,1 Ingen kontroll,24,Kvinne,Fagutdanning,Under 200.000 kroner,student,SV,TRUE
6261,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,5,20,47,2,NA,1 Ingen kontroll,52,Mann,Fagutdanning,400.000 - 499.000 kr,working parttime,Frp,FALSE
4947,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,2,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,36,Kvinne,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,Ap,TRUE
6214,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,71,Kvinne,Videregaaende,200.000 - 299.999 kroner,retired,H,FALSE
2317,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,5,24,1,Ja,1 Ingen kontroll,27,Kvinne,Universitet/hoyskole II,Under 200.000 kroner,working parttime,SV,TRUE
3313,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,35,Mann,Videregaaende,300.000-399.000 kroner,national insurance,Frp,FALSE
5270,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,1,NA,0,NA,1 Ingen kontroll,57,Kvinne,Universitet/hoyskole II,Under 200.000 kroner,national insurance,Ap,TRUE
1901,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,NA,24,0,NA,1 Ingen kontroll,51,Kvinne,Videregaaende,Under 200.000 kroner,national insurance,Stemte ikke,TRUE
901,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,30,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,working fulltime,V,TRUE
1460,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,67,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,retired,H,FALSE
4218,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,0,TRUE,FALSE,FALSE,5,5,47,3,NA,2,20,Mann,Grunnskole,Under 200.000 kroner,student,Hadde ikke stemmerett,TRUE
4384,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,NA,NA,0,Ja,1 Ingen kontroll,54,Mann,Videregaaende,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
5787,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,10,1,47,1,NA,1 Ingen kontroll,31,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Sp,TRUE
2904,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,NA,NA,0,NA,1 Ingen kontroll,34,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,unemployed,Stemte ikke,TRUE
3022,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,1,TRUE,FALSE,FALSE,NA,5,47,2,NA,1 Ingen kontroll,26,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,unemployed,H,FALSE
2473,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,2,TRUE,FALSE,FALSE,10,100,24,0,NA,2,25,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
272,2,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,21,Kvinne,Videregaaende,Under 200.000 kroner,student,Husker ikke/vet ikke,TRUE
4368,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,5,47,2,Ja,1 Ingen kontroll,32,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,H,FALSE
659,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,69,Kvinne,Grunnskole,200.000 - 299.999 kroner,retired,Vil ikke oppgi parti,TRUE
6156,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,5,47,3,NA,1 Ingen kontroll,31,Mann,Universitet/hoyskole I,Under 200.000 kroner,working fulltime,Sp,TRUE
2946,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,8,TRUE,FALSE,FALSE,5,5,47,3,NA,4,50,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,R,TRUE
4149,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,1,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,32,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,working fulltime,H,FALSE
6240,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,NA,NA,0,NA,1 Ingen kontroll,56,Mann,Grunnskole,Under 200.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
2648,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,5,5,47,3,Ja,3,23,Kvinne,Videregaaende,Under 200.000 kroner,student,V,TRUE
4463,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,1,12,0,NA,1 Ingen kontroll,62,Kvinne,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,MDG,TRUE
3771,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,2,FALSE,FALSE,TRUE,10,5,24,1,Ja,1 Ingen kontroll,20,Kvinne,Videregaaende,Under 200.000 kroner,student,Hadde ikke stemmerett,TRUE
3156,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,100,24,0,Ja,1 Ingen kontroll,43,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,Hadde ikke stemmerett,TRUE
4579,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,500,24,0,NA,1 Ingen kontroll,24,Kvinne,Videregaaende,500.000 - 599.999 kroner,student,Vil ikke oppgi parti,TRUE
6453,1,Base (nw),T2 NO CHOICE – NO WORK,Base,0,FALSE,FALSE,TRUE,5,5,12,2,NA,1 Ingen kontroll,26,Mann,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,H,FALSE
6614,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,5,5,47,3,NA,3,23,Mann,Videregaaende,Under 200.000 kroner,student,V,TRUE
6473,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,59,Kvinne,Fagutdanning,400.000 - 499.000 kr,working fulltime,Husker ikke/vet ikke,TRUE
4989,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,5,NA,1,NA,1 Ingen kontroll,31,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,R,TRUE
1098,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,1,NA,0,NA,1 Ingen kontroll,67,Kvinne,Fagutdanning,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
1310,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,10,100,24,0,NA,1 Ingen kontroll,48,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working parttime,Ap,TRUE
5238,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,5,NA,1,NA,6,64,Kvinne,Videregaaende,200.000 - 299.999 kroner,working parttime,Ap,TRUE
2668,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,5,1,47,2,NA,3,31,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,Ap,TRUE
2818,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,24,1,NA,2,56,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Sp,TRUE
2249,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,NA,NA,0,NA,1 Ingen kontroll,41,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,H,FALSE
6038,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,67,Mann,Fagutdanning,300.000-399.000 kroner,retired,Ap,TRUE
6123,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,0,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,33,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,H,FALSE
3069,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,10,100,23,0,NA,Vet ikke,59,Mann,Videregaaende,Onsker ikke aa svare,working fulltime,Vil ikke oppgi parti,TRUE
5089,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,10,100,47,1,NA,3,30,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,unemployed,H,FALSE
2659,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,5,47,3,NA,4,70,Mann,Universitet/hoyskole I,300.000-399.000 kroner,retired,Ap,TRUE
2864,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,2,TRUE,FALSE,FALSE,5,5,47,3,NA,1 Ingen kontroll,51,Kvinne,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,Vil ikke oppgi parti,TRUE
5648,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,1,24,0,Ja,1 Ingen kontroll,30,Kvinne,Videregaaende,200.000 - 299.999 kroner,national insurance,Sp,TRUE
2820,1,Base (nw),T2 NO CHOICE – NO WORK,Base,2,FALSE,FALSE,TRUE,10,5,NA,1,NA,Vet ikke,55,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,Stemte ikke,TRUE
4171,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,24,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,student,H,FALSE
1064,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,1,24,0,Ja,1 Ingen kontroll,51,Kvinne,Universitet/hoyskole I,200.000 - 299.999 kroner,national insurance,Hadde ikke stemmerett,TRUE
3322,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,53,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,working parttime,Ap,TRUE
2784,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,22,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,V,TRUE
5228,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,62,Kvinne,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
4573,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,1 Ingen kontroll,64,Kvinne,Fagutdanning,Under 200.000 kroner,self-employed,R,TRUE
4930,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,34,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,V,TRUE
1014,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,0,TRUE,TRUE,TRUE,5,5,6,2,Ja,1 Ingen kontroll,26,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,Vil ikke oppgi parti,TRUE
7079,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,500,6,0,NA,7 Full kontroll,47,Kvinne,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
3483,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,NA,24,0,NA,4,38,Kvinne,Fagutdanning,400.000 - 499.000 kr,working fulltime,H,FALSE
5892,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,53,Mann,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,Ap,TRUE
3216,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,63,Mann,Universitet/hoyskole I,1.000.000 kroner eller mer,working fulltime,H,FALSE
4932,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,1,24,0,NA,1 Ingen kontroll,24,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,H,FALSE
6708,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,5,1,47,2,NA,7 Full kontroll,25,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working parttime,H,FALSE
1071,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,100,NA,0,NA,1 Ingen kontroll,64,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,retired,Ap,TRUE
1997,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,5,5,47,3,NA,2,22,Mann,Videregaaende,Under 200.000 kroner,student,Sp,TRUE
6208,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,100,24,0,NA,4,26,Kvinne,Fagutdanning,300.000-399.000 kroner,working fulltime,Stemte ikke,TRUE
2924,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,0,TRUE,TRUE,TRUE,10,100,24,0,Ja,1 Ingen kontroll,25,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,working parttime,Vil ikke oppgi parti,TRUE
5532,1,Base (w),T1 NO CHOICE,Base,3,TRUE,TRUE,TRUE,10,100,24,0,NA,3,27,Kvinne,Videregaaende,400.000 - 499.000 kr,working parttime,H,FALSE
5392,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,100,47,2,Ja,3,32,Mann,Universitet/hoyskole I,200.000 - 299.999 kroner,working fulltime,Frp,FALSE
2019,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,47,2,NA,1 Ingen kontroll,24,Kvinne,Videregaaende,Under 200.000 kroner,student,Ap,TRUE
1695,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,5,47,2,NA,7 Full kontroll,26,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,student,Ap,TRUE
2028,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,5,47,3,NA,Vet ikke,59,Kvinne,Fagutdanning,600.000 - 699.999 kroner,retired,H,FALSE
7041,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,NA,NA,24,0,NA,1 Ingen kontroll,69,Kvinne,Fagutdanning,Onsker ikke aa svare,working parttime,Vil ikke oppgi parti,TRUE
5837,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,57,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,Hadde ikke stemmerett,TRUE
2235,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,2,TRUE,TRUE,TRUE,5,10,12,1,Ja,1 Ingen kontroll,28,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Ap,TRUE
6428,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,28,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,SV,TRUE
5243,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,24,1,NA,4,77,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,retired,Frp,FALSE
5905,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,10,NA,47,1,NA,1 Ingen kontroll,33,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,H,FALSE
614,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,12,1,NA,3,54,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,unemployed,Vil ikke oppgi parti,TRUE
2340,2,Base (w),T1 NO CHOICE,Base,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,64,Kvinne,Videregaaende,200.000 - 299.999 kroner,national insurance,Vil ikke oppgi parti,TRUE
4799,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,5,NA,32,1,Ja,1 Ingen kontroll,21,Kvinne,Videregaaende,Under 200.000 kroner,working parttime,H,FALSE
3091,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,1,FALSE,FALSE,TRUE,10,100,47,1,NA,1 Ingen kontroll,53,Kvinne,Grunnskole,300.000-399.000 kroner,working fulltime,H,FALSE
6390,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,1,24,0,NA,4,48,Kvinne,Fagutdanning,400.000 - 499.000 kr,unemployed,Vil ikke oppgi parti,TRUE
298,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,73,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,retired,H,FALSE
4174,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,2,TRUE,FALSE,FALSE,10,1,47,1,NA,1 Ingen kontroll,56,Mann,Universitet/hoyskole II,300.000-399.000 kroner,national insurance,Frp,FALSE
1060,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,3,TRUE,TRUE,TRUE,10,100,47,1,Ja,1 Ingen kontroll,52,Kvinne,Videregaaende,400.000 - 499.000 kr,working fulltime,Sp,TRUE
6321,1,Base (w),T1 NO CHOICE,Base,0,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,34,Mann,Fagutdanning,300.000-399.000 kroner,self-employed,Stemte ikke,TRUE
7037,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,3,FALSE,FALSE,TRUE,NA,5,47,2,NA,Vet ikke,70,Kvinne,Videregaaende,200.000 - 299.999 kroner,retired,MDG,TRUE
4970,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,500,24,0,NA,1 Ingen kontroll,24,Kvinne,Videregaaende,Under 200.000 kroner,student,Ap,TRUE
1257,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,5,5,47,3,NA,2,50,Mann,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,H,FALSE
5764,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,69,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,retired,Ap,TRUE
4379,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,100,24,0,NA,3,25,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Sp,TRUE
1032,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,NA,24,0,NA,1 Ingen kontroll,72,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,retired,Ap,TRUE
3324,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,43,Kvinne,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,Vil ikke oppgi parti,TRUE
973,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,1,FALSE,FALSE,TRUE,5,5,47,3,NA,4,67,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,retired,Vil ikke oppgi parti,TRUE
6307,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,61,Kvinne,Fagutdanning,200.000 - 299.999 kroner,working parttime,Ap,TRUE
3523,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,100,NA,0,Vet ikke,1 Ingen kontroll,68,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,retired,SV,TRUE
1232,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,500,47,1,NA,1 Ingen kontroll,56,Kvinne,Videregaaende,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
5139,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,66,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Vil ikke oppgi parti,TRUE
1851,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,30,Mann,Fagutdanning,600.000 - 699.999 kroner,working fulltime,MDG,TRUE
5232,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,26,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,Stemte ikke,TRUE
6350,1,Base (nw),T2 NO CHOICE – NO WORK,Base,1,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,1 Ingen kontroll,42,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,H,FALSE
6167,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,2,TRUE,FALSE,FALSE,10,100,24,0,NA,Vet ikke,25,Mann,Universitet/hoyskole I,200.000 - 299.999 kroner,working parttime,Stemte ikke,TRUE
2824,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,30,Mann,Universitet/hoyskole II,300.000-399.000 kroner,working fulltime,Sp,TRUE
3552,2,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,80,Mann,Fagutdanning,200.000 - 299.999 kroner,retired,Ap,TRUE
6955,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,100,24,0,NA,1 Ingen kontroll,70,Mann,Universitet/hoyskole II,300.000-399.000 kroner,retired,Ap,TRUE
4410,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,68,Mann,Fagutdanning,200.000 - 299.999 kroner,retired,Hadde ikke stemmerett,TRUE
1522,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,25,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,V,TRUE
6930,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,22,Mann,Fagutdanning,500.000 - 599.999 kroner,working fulltime,Sp,TRUE
